ID_Requisicao,ID_Unidade_Solicitante,ID_Unidade_Fornecedora,Tipo_Sanguineo_Solicitado,Hemocomponente_Solicitado,Quantidade_Solicitada,Data_Criacao,Data_Atendimento,Status
R001,H01,HEMO01,O+,Concentrado de Hemacias,10,2026-09-01 08:00,2026-09-01 14:00,Atendida
R002,H02,HEMO02,A+,Plasma Fresco Congelado,5,2026-09-01 09:15,2026-09-01 20:15,Atendida
R003,H03,HEMO01,O-,Concentrado de Plaquetas,8,2026-09-02 07:30,2026-09-02 10:00,Atendida
R004,H04,HEMO02,B+,Crioprecipitado,4,2026-09-02 11:00,2026-09-03 09:00,Atendida
R005,H05,HEMO03,A-,Plasma Fresco Congelado,6,2026-09-03 13:20,2026-09-03 15:50,Atendida
R006,H06,HEMO01,B-,Concentrado de Plaquetas,3,2026-09-03 16:00,,Pendente
R007,H07,HEMO02,O+,Concentrado de Hemacias,12,2026-09-04 08:45,2026-09-04 12:15,Atendida
R008,H01,HEMO03,O+,Concentrado de Hemacias,7,2026-09-04 10:00,2026-09-05 08:00,Atendida
R009,H03,HEMO02,O-,Concentrado de Plaquetas,5,2026-09-05 09:00,,Pendente
R010,H02,HEMO01,A+,Plasma Fresco Congelado,9,2026-09-05 14:30,2026-09-05 19:30,Atendida
R011,H06,HEMO03,B-,Crioprecipitado,2,2026-09-06 08:00,2026-09-06 09:30,Atendida
R012,H04,HEMO01,B+,Crioprecipitado,6,2026-09-06 10:15,2026-09-07 07:15,Atendida
R013,H05,HEMO02,A-,Plasma Fresco Congelado,4,2026-09-07 11:00,2026-09-07 13:00,Atendida
R014,H07,HEMO01,O+,Concentrado de Hemacias,10,2026-09-07 15:00,2026-09-08 09:00,Atendida
R015,H01,HEMO02,O+,Concentrado de Hemacias,8,2026-09-08 08:30,2026-09-08 11:30,Atendida
