ID_Unidade,Nome_Instituicao,Tipo_Instituicao,Latitude,Longitude,Tipo_Sanguineo,Qtd_Bolsas_Atual,Estoque_Minimo_Seguranca,Consumo_Diario_Medio
H01,Hospital Municipal Central,Hospital,-8.0578,-34.8829,O+,45,50,8.5
H02,Hospital Santa Clara,Hospital,-8.0389,-34.9019,A+,32,40,6.2
H03,Hospital Regional Norte,Hospital,-7.9948,-34.8656,O-,12,25,4.1
HEMO01,Hemocentro Metropolitano,Hemocentro,-8.0476,-34.8770,AB+,60,30,3.0
H04,Hospital São Lucas,Hospital,-8.1131,-35.0117,B+,28,35,5.4
HEMO02,Hemocentro Regional Sul,Hemocentro,-8.0993,-34.9448,O+,80,45,9.8
H05,Hospital Universitário Cardoso,Hospital,-8.0296,-34.9584,A-,15,20,3.7
H06,Hospital da Zona Oeste,Hospital,-8.0219,-34.9622,B-,9,15,2.3
HEMO03,Hemocentro Central,Hemocentro,-8.0631,-34.8711,AB-,18,20,1.9
H07,Hospital Vital Cruz,Hospital,-7.9410,-34.8730,O+,22,50,7.6
